PartType                                RefDes                        PartDecal                                Pins      Layer                          Orient.                        X                              Y                             SMD       Glued
0.1"_1PIN                               AMP-IN                        0.1"_1PIN                                1         Top                            90                             330                            2490                          False     False     
0.1"_1PIN                               AMP-OUT                       0.1"_1PIN                                1         Top                            0                              530                            2490                          False     False     
0.1"_1PIN                               AMP-POWER                     0.1"_1PIN                                1         Top                            0                              630                            2490                          False     False     
SMA_BOARD_EDGE                          ANT/VNA-IN                    SMA_BOARD_EDGE                           5         Bottom                         180                            177.165354330709               2165.35433070866              True      True      
CSM-X7R-100N-10P-25V-0603               C1                            C0603                                    2         Bottom                         90                             2100                           2170                          True      False     
CSM-X7R-100N-10P-25V-0603               C2                            C0603                                    2         Bottom                         270                            2100                           2290                          True      False     
CSM-X7R-100N-10P-25V-0603               C3                            C0603                                    2         Bottom                         0                              2230                           2410                          True      False     
CSM-X5R-10U0-10P-25V-0805               C4                            GENERIC_CAP_0805                         2         Bottom                         90                             2040                           2160                          True      False     
CSM-X5R-10U0-10P-25V-0805               C5                            GENERIC_CAP_0805                         2         Bottom                         270                            2040                           2300                          True      False     
CSM-X7R-1U0-10P-10V-0603                C6                            C0603                                    2         Bottom                         180                            3180                           1310                          True      False     
CSM-X7R-1U0-10P-10V-0603                C7                            C0603                                    2         Bottom                         270                            3280                           1430                          True      False     
CSM-X7R-100N-10P-25V-0603               C8                            C0603                                    2         Bottom                         0                              950                            1290                          True      False     
CSM-C0G-100P-5P-50V-0603                C9                            C0603                                    2         Top                            0                              1130                           2410                          True      False     
CSM-X7R-100N-10P-25V-0603               C10                           C0603                                    2         Bottom                         270                            3540                           1250                          True      False     
CSM-X7R-100N-10P-25V-0603               C11                           C0603                                    2         Bottom                         270                            3850                           1250                          True      False     
CSM-X7R-100N-10P-25V-0603               C12                           C0603                                    2         Top                            180                            1330                           2480                          True      False     
CSM-X5R-4U7-10P-10V-0603                C13                           C0603                                    2         Bottom                         180                            3000                           1800                          True      False     
CSM-X5R-10U0-10P-10V-0805               C14                           GENERIC_CAP_0805                         2         Bottom                         270                            2990                           1180                          True      False     
CSM-X7R-10N-10P-50V-0603                C15                           C0603                                    2         Bottom                         270                            1840                           2460                          True      False     
CSM-X5R-1U0-10P-25V-0603                C16                           C0603                                    2         Top                            0                              300                            780                           True      False     
CSM-X5R-1U0-10P-25V-0603                C17                           C0603                                    2         Bottom                         0                              550                            1710                          True      False     
CSM-X7R-10N-10P-50V-0603                C18                           C0603                                    2         Top                            270                            780                            1880                          True      False     
CSM-X7R-10N-10P-50V-0603                C19                           C0603                                    2         Top                            270                            780                            1750                          True      False     
CSM-C0G-18P-5P-50V-0603                 C20                           C0603                                    2         Top                            270                            2570                           1990                          True      False     
CSM-C0G-18P-5P-50V-0603                 C21                           C0603                                    2         Top                            0                              2550                           1900                          True      False     
CSM-X7R-10N-10P-50V-0603                C22                           C0603                                    2         Top                            270                            780                            1520                          True      False     
CSM-X7R-10N-10P-50V-0603                C23                           C0603                                    2         Top                            270                            780                            1390                          True      False     
CSM-X7R-100N-10P-25V-0603               C24                           C0603                                    2         Top                            0                              1020                           1610                          True      False     
CSM-X7R-100N-10P-25V-0603               C25                           C0603                                    2         Top                            0                              1020                           1550                          True      False     
CSM-X7R-100N-10P-25V-0603               C26                           C0603                                    2         Top                            90                             850                            960                           True      False     
CSM-X7R-100N-10P-25V-0603               C27                           C0603                                    2         Top                            90                             850                            720                           True      False     
CSM-X7R-100N-10P-25V-0603               C28                           C0603                                    2         Bottom                         180                            2140                           2080                          True      False     
CSM-X7R-100N-10P-25V-0603               C29                           C0603                                    2         Bottom                         90                             2240                           2050                          True      False     
CSM-X7R-10N-10P-50V-0603                C30                           C0603                                    2         Bottom                         270                            2300                           2050                          True      False     
CSM-C0G-18P-5P-50V-0603                 C31                           C0603                                    2         Bottom                         180                            2400                           2020                          True      False     
CSM-C0G-18P-5P-50V-0603                 C32                           C0603                                    2         Bottom                         0                              2530                           2020                          True      False     
CSM-X5R-1U0-10P-25V-0603                C33                           C0603                                    2         Bottom                         180                            2350                           2410                          True      False     
CSM-X7R-100N-10P-25V-0603               C34                           C0603                                    2         Bottom                         90                             1400                           2170                          True      False     
CSM-X7R-100N-10P-25V-0603               C35                           C0603                                    2         Bottom                         270                            1400                           2290                          True      False     
CSM-X7R-100N-10P-25V-0603               C36                           C0603                                    2         Bottom                         180                            1650                           2410                          True      False     
CSM-X5R-10U0-10P-25V-0805               C37                           GENERIC_CAP_0805                         2         Bottom                         90                             1340                           2160                          True      False     
